f500_rank,org,sector,industry,employees,website
188,Omnicom Group,Business Services,"Advertising, marketing",77300,www.omnicomgroup.com
189,CDW,Technology,Information Technology Services,8726,www.cdw.com
190,Sherwin-Williams,Chemicals,Chemicals,52695,www.sherwin.com
191,PPG Industries,Chemicals,Chemicals,47200,www.ppg.com
192,Texas Instruments,Technology,Semiconductors and Other Electronic Components,29714,www.ti.com
193,C.H. Robinson Worldwide,Transportation,Transportation and Logistics,15074,www.chrobinson.com
194,WestRock,Materials,"Packaging, Containers",44800,www.westrock.com
195,Cognizant Technology Solutions,Technology,Information Technology Services,26e4,www.cognizant.com
196,Newell Brands,Household Products,"Home Equipment, Furnishings",49e3,www.newellbrands.com
197,CBS,Media,Entertainment,14715,www.cbscorporation.com
198,Envision Healthcare,Health Care,Health Care: Pharmacy and Other Services,57750,www.evhc.net
199,Monsanto,Chemicals,Chemicals,21900,www.monsanto.com
200,Aramark,Business Services,Diversified Outsourcing Services,215e3,www.aramark.com
201,Applied Materials,Technology,Semiconductors and Other Electronic Components,18400,www.appliedmaterials.com
202,Waste Management,Business Services,Waste Management,42300,www.wm.com
203,DISH Network,Telecommunications,Telecommunications,17e3,www.dish.com
204,Illinois Tool Works,Industrials,Industrial Machinery,5e4,www.itw.com
205,Lincoln National,Financials,"Insurance: Life, Health (stock)",9047,www.lfg.com
206,HollyFrontier,Energy,Petroleum Refining,3522,www.hollyfrontier.com
207,CBRE Group,Financials,Real estate,8e4,www.cbre.com
208,Textron,Aerospace & Defense,Aerospace and Defense,37e3,www.textron.com
209,Ross Stores,Retailing,Specialty Retailers: Apparel,82700,www.rossstores.com
210,Principal Financial,Financials,"Insurance: Life, Health (stock)",15378,www.principal.com
211,D.R. Horton,Engineering & Construction,Homebuilders,7735,www.drhorton.com
212,Marsh & McLennan,Financials,Diversified Financials,64e3,www.mmc.com
213,Devon Energy,Energy,"Mining, Crude-Oil Production",3414,www.devonenergy.com
214,AES,Energy,Utilities: Gas and Electric,10500,www.aes.com
215,Ecolab,Chemicals,Chemicals,48400,www.ecolab.com
216,Land O’Lakes,"Food, Beverages & Tobacco",Food Consumer Products,1e4,www.landolakesinc.com
217,Loews,Financials,Insurance: Property and Casualty (Stock),18100,www.loews.com
218,Kinder Morgan,Energy,Pipelines,10897,www.kindermorgan.com
