f500_rank,org,sector,industry,employees,website
447,Wynn Resorts,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",25200,www.wynnresorts.com
448,Olin,Chemicals,Chemicals,6400,www.olin.com
449,American Axle & Manufacturing,Motor Vehicles & Parts,Motor Vehicles and Parts,25e3,www.aam.com
450,Old Republic International,Financials,Insurance: Property and Casualty (Stock),8700,www.oldrepublic.com
451,Chemours,Chemicals,Chemicals,7e3,www.chemours.com
452,iHeartMedia,Media,Entertainment,18700,www.iheartmedia.com
453,Ameren,Energy,Utilities: Gas and Electric,8615,www.ameren.com
454,Arthur J. Gallagher,Financials,Diversified Financials,26783,www.ajg.com
455,Celanese,Chemicals,Chemicals,7592,www.celanese.com
456,Sealed Air,Materials,"Packaging, Containers",15e3,www.sealedair.com
457,UGI,Energy,Energy,13e3,www.ugicorp.com
458,Realogy Holdings,Financials,Real estate,11800,www.realogy.com
459,Burlington Stores,Retailing,Specialty Retailers: Apparel,4e4,www.burlington.com
460,Regions Financial,Financials,Commercial Banks,21714,www.regions.com
461,AK Steel Holding,Materials,Metals,9200,www.aksteel.com
462,Securian Financial Group,Financials,"Insurance: Life, Health (stock)",5e3,www.securian.com
463,S&P Global,Business Services,Financial Data Services,20400,www.spglobal.com
464,Markel,Financials,Insurance: Property and Casualty (Stock),15600,www.markelcorp.com
465,TravelCenters of America,Retailing,Specialty Retailers: Other,19611,www.ta-petro.com
466,Conduent,Business Services,Diversified Outsourcing Services,9e4,www.conduent.com
467,M&T Bank Corp.,Financials,Commercial Banks,16354,www.mtb.com
468,Clorox,Household Products,Household and Personal Products,8100,www.thecloroxcompany.com
469,AmTrust Financial Services,Financials,Insurance: Property and Casualty (Stock),9300,www.amtrustfinancial.com
470,KKR,Financials,Securities,1184,www.kkr.com
471,Ulta Beauty,Retailing,Specialty Retailers: Other,24200,www.ulta.com
472,Yum Brands,"Hotels, Restaurants & Leisure",Food Services,6e4,www.yum.com
473,Regeneron Pharmaceuticals,Health Care,Pharmaceuticals,6200,www.regeneron.com
474,Windstream Holdings,Telecommunications,Telecommunications,12979,www.windstream.com
475,Magellan Health,Health Care,Health Care: Insurance and Managed Care,10700,www.magellanhealth.com
476,Western & Southern Financial,Financials,"Insurance: Life, Health (Mutual)",2226,www.westernsouthern.com
477,Intercontinental Exchange,Financials,Securities,4952,www.theice.com
478,Ingredion,"Food, Beverages & Tobacco",Food Production,11e3,www.ingredion.com
479,Wyndham Worldwide,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",39200,www.wyndhamworldwide.com
480,Toll Brothers,Engineering & Construction,Homebuilders,4500,www.tollbrothers.com
481,Seaboard,"Food, Beverages & Tobacco",Food Production,11800,www.seaboardcorp.com
482,Booz Allen Hamilton,Technology,Information Technology Services,23300,www.boozallen.com
483,First American Financial,Financials,Insurance: Property and Casualty (Stock),18705,www.firstam.com
484,Cincinnati Financial,Financials,Insurance: Property and Casualty (Stock),4925,www.cinfin.com
485,Avon Products,Household Products,Household and Personal Products,25e3,www.avoninvestor.com
486,Northern Trust,Financials,Commercial Banks,18100,www.northerntrust.com
487,Fiserv,Business Services,Financial Data Services,24e3,www.fiserv.com
488,Harley-Davidson,Transportation,Transportation Equipment,5800,www.harley-davidson.com
489,Cheniere Energy,Energy,Energy,1230,www.cheniere.com
490,Patterson,Wholesalers,Wholesalers: Health Care,7500,www.pattersoncompanies.com
491,Peabody Energy,Energy,"Mining, Crude-Oil Production",7100,www.peabodyenergy.com
492,ON Semiconductor,Technology,Semiconductors and Other Electronic Components,34e3,www.onsemi.com
493,Simon Property Group,Financials,Real estate,4150,www.simon.com
494,Western Union,Business Services,Financial Data Services,11500,www.westernunion.com
495,NetApp,Technology,"Computers, Office Equipment",10100,www.netapp.com
496,Polaris Industries,Transportation,Transportation Equipment,11e3,www.polaris.com
497,Pioneer Natural Resources,Energy,"Mining, Crude-Oil Production",3836,www.pxd.com
498,ABM Industries,Business Services,Diversified Outsourcing Services,14e4,www.abm.com
499,Vistra Energy,Energy,Energy,4150,www.vistraenergy.com
500,Cintas,Business Services,Diversified Outsourcing Services,42e3,www.cintas.com
